id,name,cuisine,type,tel,tag,entr_location,address,adcode,adname,pname,biz_type,cityname,business_area,location,cost,rating,meal_ordering,photo_url_first
B0J6CONMMJ,费大厨辣椒炒肉(上海月星环球港店),湘菜,餐饮服务;中餐厅;湖南菜(湘菜),021-62317868,"小炒肉,柠檬茶,干锅肥肠,辣椒炒肉","121.413398,31.234063",中山北路3300号上海月星环球港L3层L3121-L3122-L3123,310107,普陀区,上海市,diner,上海市,曹杨,"121.413181,31.234116",90.00,4.6,0,https://aos-comment.amap.com/B0J6CONMMJ/comment/5ba9a95cf3ac4ff060cea0e9f3fb4ac3_2048_2048_80.jpg
B0FFGCY4N3,威皇广福和小海鲜(襄阳南路店),粤菜,餐饮服务;中餐厅;海鲜酒楼,021-54046529,"广东风味白切鸡,烧味拼盘,XO酱爆炒海螺片,永隆小炒皇,XO酱花生芽炒三丝,咸蛋黄茶树菇,蒜子鳝筒鸡腰闷牛蛙,咸蛋黄炸鱼皮,鸡腰,干煎河鳗,韭菜煎虾饼,葱油膏蟹,五花牛肉,姜葱蛏子,黑椒牛仔粒,熟醉大头虾,小炒肥肠,招牌花雕醉鸡煲,腊味煲仔饭,小海鲜,海鲜拼盘,鸡汤,煲仔饭,鸡肉","121.457531,31.211378",襄阳南路215号(陕西南路地铁站7号口步行410米),310104,徐汇区,上海市,diner,上海市,淮海路,"121.457611,31.211436",119.00,4.8,0,http://store.is.autonavi.com/showpic/476671fad92972dade9ea0c3b516f950
B0FFJBZBG2,点都德(环宇荟店),粤菜,餐饮服务;快餐厅;茶餐厅,021-63333213;13564839929,"油条,凤爪,虾仁,广式点心,流沙包,虾饺,点心,红米肠","121.475842,31.212102",黄陂南路838弄环宇荟B1层(地铁9/13号线马当路站5号口),310101,黄浦区,上海市,diner,上海市,,"121.476543,31.211745",101.00,4.7,0,http://store.is.autonavi.com/showpic/0e70bc728aa69fe168ca09343de69980
B0I297MANF,浦江名荟,粤菜,商务住宅;住宅区;住宅小区|餐饮服务;中餐厅;中餐厅,021-68872288,"糟卤酱油土鸡蛋蒸长脚蟹,海胆酱焗小青龙,北海公肚花胶,葱烧辽参,清汤小金勾,潮式冻花蟹,潮式冻鱼子酱黄鱼,酸汤过桥象拔蚌,蒜子甲鱼焖饭,碳烤潮式大响螺,香煎脆带鱼,香茅黑胡椒炒波龙,香煎A5雪花牛肉,文火牛肉,十年陈皮青蟹焖文昌鸡,熟醉带膏富贵虾,家烧黄鱼年糕,沙祘烧豆面,卤水36个月老鹅头,羊肚菌玉竹炖辽参,脆皮金沙参,桂香山棕牛肉叉烧,鸡油大红袍花椒蒸白鲳鱼,鲍汁扣花胶,杏汁润肺花胶汤,广式烧腊,创意菜,烧肉,花胶,双皮奶,特色菜,青蟹,蟹肉,鱼子酱,羊肚菌,虾球,脆皮乳鸽,潮汕菜,叉烧,豆面,带鱼","121.506303,31.2438",浦东南路27号,310115,浦东新区,上海市,,上海市,陆家嘴,"121.506307,31.243723",280.00,4.8,0,http://store.is.autonavi.com/showpic/6fc74f74b3e711bfd7b8913cf554cd2d
B0FFLDVE66,陶陶居(上海新天地店),粤菜,餐饮服务;中餐厅;中餐厅,021-63866618;021-63866628,"啫啫生菜煲,陶陶居大虾饺,酥皮水牛奶菠萝包,冰镇咕噜肉,百年烧鹅,一口酥豆腐,鲜果榴莲天鹅酥,虾饺,干炒牛河,早茶,杨枝甘露,乳鸽,烧鹅,糯米鸡,凤爪,红米肠,菠萝包,大良双皮奶","121.474364,31.22137",太仓路181弄新天地北里F1层17号,310101,黄浦区,上海市,diner,上海市,新天地石库门街区,"121.474529,31.221248",150.00,4.7,0,http://store.is.autonavi.com/showpic/07ac66d8fcd4c22488a83eec22b4967c
B0IR7R78J8,海湾荟(外滩伍号),粤菜,餐饮服务;中餐厅;海鲜酒楼|商务住宅;住宅区;住宅小区|餐饮服务;中餐厅;火锅店,16621695105,"吉祥葫芦鹅肝,酥皮臻选牛肋骨,鲜青椒蒸白水鱼,爽脆海蜇花,风斗响螺汤,黄焖甲鱼煲,笋富菜烧黑毛红烧肉,XO酱百合炒银雪鱼,海味小炒皇,海胆酱焗鲜活小青龙,坚果板栗南瓜,帝王蟹,爽口芥菜头,羊尾笋尖火腿炖老鸭,百花煎酿自制羊肚菌,味增低温海白虾,甲鱼煲,鱼子酱,羊肚菌,海鲜汤,羊排,鹅肝,点心,蟹肉,花胶,龙虾,波士顿龙虾,下午茶,鸡肉,牛肉,豆腐鱼,海鲜火锅","121.490778,31.23431",广东路20号7楼01室外滩5号,310101,黄浦区,上海市,diner,上海市,北京路,"121.490777,31.234379",600.00,4.9,0,https://aos-comment.amap.com/B0IR7R78J8/comment/c5915a40982b6b1e8ef84fa69f989232_2048_2048_80.jpg
B0FFGM9BZB,喜粤8号(汝南街总店),粤菜,餐饮服务;中餐厅;广东菜(粤菜),021-67337123,"烧味双拼,黄金流沙包,脆皮鲜虾肠粉,蜜汁烧河鳗,脆米龙虾汤泡饭,杨枝甘露,喜粤虾饺皇,星级叉烧,竹笙菠菜饺,碧绿菌皇炒带子,流沙包,点心,叉烧,腊味饭,虾饺",,汝南街63号主楼101室,310101,黄浦区,上海市,diner,上海市,制造局路,"121.483246,31.202601",160.00,4.7,0,http://store.is.autonavi.com/showpic/a19fcf9a276ec738dd7e52f2632fbc18
B0FFIREFVW,威皇广福和小海鲜(乌鲁木齐南路店),粤菜,餐饮服务;中餐厅;中餐厅,021-64374654;15921352491,"蒜子鳝筒鸡腰焖牛蛙,黑椒牛肉粒,永隆小炒皇,烧味拼盘,咸蛋黄茶树菇,鸡腰,XO酱花生芽炒三丝,熟醉大头虾,姜葱蛏子,腊味煲仔饭,清汤萝卜牛杂汤,干煎河鳗,广东风味白切鸡,葱油膏蟹,XO酱爆炒海螺片,韭菜煎虾饼,小炒肥肠,蛋黄炸鱼皮,招牌花雕醉鸡煲,小海鲜,海鲜拼盘,生蚝,鸡肉,鸡汤,煲仔饭","121.449970,31.200899",乌鲁木齐南路370号,310104,徐汇区,上海市,diner,上海市,,"121.449937,31.200786",151.00,4.8,0,http://store.is.autonavi.com/showpic/4a065e24085696725aafa40e0a110e61
B0FFLNM3AW,点都德·德小馆(正大店),粤菜,餐饮服务;中餐厅;中餐厅,021-58302521,"过家牛展,特色气泡猪手,腐乳生菜胆,隔水蒸鸡,老娘黑蒜叉烧,金牌虾饺皇,豉油糖黄鱼,避风塘虾饺,金莎海虾红米肠,黑松露烧卖,功夫汤虾饺,凤爪,肠粉,点心,广式早茶,红烧乳鸽,虾饺,油条,叉烧,红米肠,乳鸽,艇仔粥,广式烧鹅,金钱肚,虾仁,干炒牛河",,陆家嘴西路168号正大广场西区6楼614室,310115,浦东新区,上海市,diner,上海市,陆家嘴,"121.499038,31.236926",130.00,4.7,0,http://store.is.autonavi.com/showpic/9c27fa41ce7659f2508bdeb1c98da911
B00156E6DQ,潮府馆(大宁灵石公园店),粤菜,餐饮服务;中餐厅;潮州菜|餐饮服务;中餐厅;广东菜(粤菜),021-66315787;021-66315797,"堂灼大响螺,生果大龙虾,卤水老鹅头,老菜脯焗鱼,清汤鱼翅,碳烤大响螺,珠瓜南肉,三汁宫燕,潮府杂粮,潮汕冻红蟹,古法焗鲍干,大龙虾,点心,乳鸽,卤水拼盘,潮州菜,早茶","121.447743,31.27649",广中西路288号,310106,静安区,上海市,diner,上海市,大宁路,"121.447807,31.276248",222.00,4.7,0,http://store.is.autonavi.com/showpic/19a3d0e235e07935feeb5abcee72960b
